country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.822,0.592,1.73,1.48,0.991,7.05,5.98,6.08,,5.24,,10.9,,,,1.97,2.11,,2.04,3.96,3.19,4.03,4.01,2.87,2.93,3.83,2.68,2.13
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,,,,,0.832,,,,,,,,0.648,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434,,1.06,0.385,0.645,0.701,1.21,1.19,1.5,0.99,1.73,1.53
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,0.651,,1.07,1.35,1.45,2.05,,1.56,1.31,,,2.16,1.54,,1.19,,,,,,,,1.46,1.41,2.6,3.18,2.4,1.16,1.29,3.6,4.87,2.67,2.5,3.05
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.64
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287,0.348,0.494,1.2,1.9,0.657,0.595,0.563,1.24,1.04,0.911,1.16,0.942,1.32,1.4,1.09,1.18,0.795,0.487,0.446,0.869,0.811,0.832,0.731,1.05,0.927,0.942,0.569,0.903,0.853,0.85,0.816,0.815,0.676,0.776
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394,0.668,0.552,0.455,0.445,0.684,0.535,0.882,1.14,0.914,0.811,0.624,0.759,1.11,0.904,1.37,1.4,1.04,1.18,0.745,1.1,1.19,1.44,1.2,1.12,0.834,0.841,1.34,2.57,4.44,9.07,10.8,10,12.8,11.7
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,,3.76,,2.49,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,1.53,,,,,,1.72,1.29,,1.42,0.693,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619,0.78,0.434,0.446,0.402,0.731,0.563,,0.545,,1.07,1.36,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,13.6,12.2,6.3,7.17,13.6,21.1,,,,,,1.4,3.26,1.25,0.724,1.28,1.15,0.585,0.689,2.87,2.37,2.14,2.46,1.67,0.441
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277,3.72,4.55,4.38,,2.64,,,4.39,3.81,,,,,,1.99,1.86,1.63,2.47,3.56,4.12,3.33,2.9,1.77,0.669,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107,,,,,,,,,,,0.197,,,,,0.116,,0.23,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0935,0.917,,2.57,3.28,1.63,0.563,0.627,0.13,0.0768,0.845,,,,,0.0601,0.167,0.172
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,0.91,1.32,1.59,,,,1.02,0.88,1.59,1.87
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,2.06,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,3.15,3.52,2.42,3.46,2.75,2.57,3.08,2.86,2.99,3.09,4.44,2.11,3.97,2.03,0.789,0.588,0.367,,0.677,0.505,0.94,0.485,0.377,0.711,0.412,1.07,1.84,1.31,1.51,1.99,1.65,1.95,1.82,1.52
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66,4.41,2.45,4.13,2.5,2.06,2.15,3.63,4.31,3.76,5.46,2.88,4.53,4.12,6.88,3.8,5.59,6.23,4.29,4.38,3.81,3.92,4.32,3.73,3.7,3.33,3.08,2.88
