country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mauritius,,,,,,,,,,,,2.4,2.06,1.47,2.14,2.51,2.23,2.03,1.56,1.55,1.62,1.69,1.44,1.58,1.56,1.41,1.28,1.38
Mexico,,,,,,0.169,0.159,0.0745,0.0333,0.0537,0.0377,0.0302,0.0456,0.044,0.0597,0.0888,0.0693,0.07,0.0718,0.135,0.148,0.128,0.12,0.122,0.117,0.0958,0.0896,0.0805
Moldova,,,,,,,,,,,,,,,,,,,,0.93,0.854,0.779,0.577,0.472,0.392,0.396,0.436,0.415
Mongolia,,,,,,,,,,,,,,,,,,,1.63,1.77,2.23,1.55,1.14,1.36,1.49,1.47,2.44,2.21
Montenegro,,,,,,,,,,,,,,,,,,,,,,6.72,6.97,6.92,6.48,6.39,6.47,5.86
Morocco,,,,,,,,,,,,,,,,,,,,,,2.28,2.28,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,0.286
Namibia,,,,,,,,,,,,,,,,,,,,,,,4.51,5.97,5.61,,,
Nepal,,,,,,,,,,,,,,,,,,,0.415,,,,,,,,,
Netherlands,,,1.91,2,2.29,2.53,2.3,1.97,1.6,1.26,,,0.553,0.898,1.31,1.45,1.21,0.918,0.716,0.781,1.11,1.27,1.53,2.06,2.27,2.14,1.79,1.38
New Zealand,1.09,2.21,2.55,2.3,1.88,1.23,1.06,1.15,1.35,1.24,0.995,0.77,0.689,0.584,0.422,0.38,0.358,0.276,0.283,0.682,0.886,0.912,1.06,0.923,0.874,0.884,0.86,0.886
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,0.472,,,,,
Norway,0.942,0.942,1.06,1.2,1.02,1.39,0.806,0.603,0.433,0.284,0.295,0.365,0.504,0.521,0.723,0.695,0.647,0.383,0.318,0.497,0.678,0.607,0.562,0.604,0.656,0.812,1.02,0.879
Pakistan,,,,,,,,,,,,,,,,,0.0575,0.0395,0.0491,0.0528,0.0578,0.0743,,0.44,0.441,0.96,0.938,
Palestine,,,,,,1.81,,,,,1.06,3.17,4.84,3.72,3.7,3.27,3.08,2.72,3.9,3.6,3.43,2.59,2.9,3.04,4.06,3.25,3.04,4.03
Panama,,,,,,,,,,,,,,,,,,,,0.877,0.389,0.214,0.209,0.136,0.157,0.329,0.303,0.281
Paraguay,,,,,,,,,,,,,1.27,1.1,0.908,0.662,0.782,1.1,0.954,1.24,0.848,0.982,0.675,0.816,1.01,0.852,0.799,0.546
Peru,,,,,,,,,,,,,0.129,0.0554,0.0421,0.0389,,0.0175,0.034,0.0323,,,,,,,,
Philippines,,,,,,,,,,,,0.1,,0.0775,0.0767,0.0571,0.0583,0.0395,0.0425,0.0407,0.0278,0.0262,0.0267,0.0239,0.0182,,0.0142,0.0144
Poland,,,3.87,3.97,4.18,3.74,3.44,3.43,3.1,3.49,5.21,6.18,6.76,6.57,6.4,6.11,4.54,2.96,1.7,1.89,2.32,2.54,2.78,2.95,2.56,1.97,1.47,1.07
Portugal,,,0.678,1.22,1.75,2.06,2.15,1.99,1.49,1.47,1.15,1.14,1.27,1.83,2.11,2.62,2.7,2.69,2.49,3.08,3.89,4.2,5.34,5.95,5.12,4.37,3.78,2.92
Qatar,,,,,,,,,,,,,,,,,,,,0.248,,0.269,0.184,0.101,0.0788,0.0676,0.0632,0.0639
Romania,,,,,,,,2.07,1.97,2.22,2.6,2.3,3.08,2.54,2.59,2.27,2.41,1.97,1.53,1.7,1.79,1.9,1.88,2.01,1.91,1.98,1.76,1.36
Russia,,,0.631,0.995,1.6,2.18,2.53,3.3,3.74,4.29,3.43,2.54,2.25,2.34,2.27,2.13,2.23,1.85,1.72,1.97,1.99,1.94,1.5,1.54,1.41,1.52,1.6,1.5
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
Samoa,,,,,,,,,,,,,,,,,,,,,,,0.528,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,0.889,,1.68,1.46,1.06,,,1.45,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,,
Serbia,,,,,,,,,,,,,,,,,,,4.08,4.34,5.2,6.39,6.89,6.46,5.65,4.96,4.38,3.72
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,0.722,,,
Slovak Republic,,,,,3.91,4.17,3.59,3.64,3.9,5.16,6.75,7.33,7.58,6.97,7.53,6.79,5.74,4.68,3.89,4.33,5.94,5.62,5.77,5.98,5.53,4.49,3.67,3.21
Slovenia,,,,,,,2.28,2.22,2.57,2.4,2.6,2.13,2.13,2.28,2.1,2.17,2.06,1.52,1.29,1.52,2.34,2.55,2.87,3.45,3.39,3.01,2.7,2.05
South Africa,,,,,,,,,,,3.9,2.92,2.91,2.67,2.36,2.22,2.08,2.1,6.31,6.58,7.12,7.29,7.27,7.21,7.34,7.52,8.13,8.57
South Korea,0.146,0.155,0.177,0.225,0.232,0.168,0.151,0.195,0.47,0.546,0.291,0.243,0.217,0.17,0.203,0.211,0.195,0.19,0.153,0.164,0.13,0.119,0.142,0.129,0.14,0.193,0.261,0.286
Spain,,,4.48,6.11,7.16,6.69,6.54,6.11,5.42,4.34,3.75,2.53,2.73,2.92,2.79,1.74,1.48,1.42,1.9,4.16,5.72,6.44,7.86,8.69,8.18,7.2,6.07,4.98
Sri Lanka,,,,,,,,,,,,,,,,,,,,1.5,1.4,1.26,1.1,1.21,1.16,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96,
Sweden,0.214,0.406,0.919,1.77,2.26,1.93,2.55,2.75,2.48,1.75,1.27,0.849,0.939,0.991,1.33,0.311,0.819,0.968,0.904,1.43,1.73,1.53,1.52,1.52,1.5,1.42,1.31,1.28
Switzerland,,,,,,,1.03,1.1,0.945,0.955,0.626,0.579,0.591,1.05,1.25,1.39,1.24,1.12,0.899,1.08,1.48,1.36,1.26,1.36,1.53,1.46,1.54,1.41
