Period;City;Quality of Life Index;Purchasing Power Index;Safety Index;Health Care Index;Cost of Living Index;Property Price to Income Ratio;Traffic Commute Time Index;Pollution Index;Climate Index
2020;Indianapolis, IN, United States;163,46;110,02;43,1;69,88;66,34;2,3;29,4;44,58;69,92
2020;Stockholm, Sweden;162,52;92,18;55,6;67,54;76,09;14,18;37,56;17,74;69,67
2020;Lviv, Ukraine;119,28;32,25;57,53;58,65;32,6;13,12;33,83;53,63;69,61
2020;Dnipro, Ukraine;97,86;35,53;48,59;50,94;32,7;10,15;31,72;82,38;69,52
2020;Kaunas, Lithuania;160,36;57,01;62,38;73,03;44,6;10,44;24,41;28,08;68,94
2020;Reykjavik, Iceland;184,14;81,07;77,96;67;100,85;6,58;20,34;15,26;68,81
2020;Seoul, South Korea;130,23;76,81;72,44;81,54;85,5;24,01;41,65;58,13;68,39
2020;Panama City, Panama;108,25;35,25;52,85;57,83;57,2;11,97;34,98;64,26;67,84
2020;Lahore, Pakistan;106,45;28,44;62,57;64,54;23,42;11,42;35,44;79,6;67,56
2020;Muscat, Oman;168,47;82,7;77,81;58,77;51,07;8,62;21,04;37,77;67,22
2020;Mangalore, India;166,08;58,91;75,86;80,14;23,49;7,44;32,14;35,75;66,65
2020;Vilnius, Lithuania;165,02;62,96;72,35;69,44;44,46;12,1;27,81;23,79;66,59
2020;Salt Lake City, UT, United States;167,38;129,35;69,18;70,14;64,76;4,06;33,93;62,5;66,52
2020;Jeddah (Jiddah), Saudi Arabia;148,44;95,05;69,64;57,13;49,99;2,74;29,65;70,13;66,17
2020;Chicago, IL, United States;152,44;113,52;36,56;68,27;80,18;3,7;41,77;41,98;66,11
2020;Detroit, MI, United States;126,13;78,58;27,38;64,02;63,85;1,7;46,45;52,94;66,03
2020;Toronto, Canada;144,47;77,6;61,63;75,6;78,49;13,91;44,69;37,95;65,35
2020;Kharkiv, Ukraine;108,44;31,45;52,34;46,01;33,33;11,21;38,16;55,32;65,35
2020;Minsk, Belarus;137,42;37,84;75,72;61,69;36,2;14,97;30,89;41,51;64,37
2020;Tallinn, Estonia;173,94;71,09;77,74;71,34;52,53;9,34;26,57;23,17;64,28
2020;Jakarta, Indonesia;71,38;27,34;46,63;56,78;44,48;19,93;52,59;84,25;63,76
2020;Ho Chi Minh City, Vietnam;72,96;26,64;46,94;59,88;38,2;24,63;31,66;92,98;63,44
2020;Yerevan, Armenia;118,26;28,3;78,01;52,87;33,04;17,73;31,11;56,65;63,42
2020;Helsinki, Finland;184,06;93,13;77,8;77,11;72,36;12,08;32,23;12,65;62,79
2020;Reno, NV, United States;176,51;116,1;55,35;62,24;73,85;3,49;24,89;29,9;62,28
2020;Manila, Philippines;57,73;25,14;35,63;62,6;38,99;24,17;55,33;89,79;61,23
2020;Hamilton, Canada;155,59;103,16;51,19;81,92;64,24;6,3;34,56;51,58;61,06
2020;Kolkata, India;90,84;45,38;52,78;58,05;24,37;12,14;60,11;78,88;60,9
2020;Lagos, Nigeria;53,15;13,28;35,07;49,35;36,56;15,43;66,38;86,12;60,75
2020;Saint Petersburg, Russia;107,08;45,39;60,64;59,13;41,71;15,38;47,91;62,63;60,64
2020;Oslo, Norway;160,74;86,47;63,36;74,85;101,66;11,65;32,51;26,08;59,99
2020;Gurgaon, India;114,61;91,58;43,32;67,48;30,28;7,04;38,83;91,72;59,87
2020;Colombo, Sri Lanka;82,09;22,63;60,88;71,54;34,3;29,38;65,7;60,1;59,11
2020;Halifax, Canada;164,12;80,05;58,68;70,51;72,33;7,61;30,15;22,8;58,99
2020;Noida, India;97,59;66,87;39,58;65,3;27,63;6,8;46,38;92,92;58,9
2020;Delhi, India;82,88;54,69;41,81;66,8;28,18;14,04;57,02;91,33;58,9
2020;Bangkok, Thailand;87,38;34,04;58,83;77,47;57,15;27,23;44,38;76,44;58,39
2020;Almaty, Kazakhstan;86,6;37,38;32,41;49,73;31,73;12,09;33,03;78,15;58,3
2020;Beijing, China;72,5;60,72;65,5;63,7;44,89;44,18;45,15;86,96;57,64
2020;Singapore, Singapore;144,39;88,96;69,43;70,84;81,1;22,31;41,31;33,48;57,45
2020;Las Vegas, NV, United States;158,86;127,88;44,91;55,96;67,46;2,75;26,81;50,04;57,4
2020;Kuala Lumpur, Malaysia;107,03;67,27;34,42;65,04;42,47;11,16;42,23;68,15;56,55
2020;Denver, CO, United States;171,42;130,33;59,11;70,1;73,3;4,21;36,75;40,73;56,28
2020;Moscow, Russia;102,48;52,28;59,46;61,08;47,65;20,23;52,63;59,84;55,83
2020;Phoenix, AZ, United States;155,66;127,26;48,12;66,53;67,41;2,85;32,17;57,24;53,76
2020;Chennai, India;106,57;53,06;59,85;71,62;25,32;14,37;47,45;75,53;53,22
2020;Montreal, Canada;162,11;96,64;71,12;64,05;67,37;6,98;39,76;32,36;52,37
2020;Madison, WI, United States;200,18;124,31;70,27;78,83;64,67;3,35;23,73;17,61;51,64
